altitude,filtered_a,filtered_s,filtered_v,gx,gy,gz,latitude,longitude,state,temperature
1272.736,0.015,1272.746,0.015,-0.006,0.019,0.018,0,0,0,45.095
1272.736,0.015,1272.746,0.015,-0.006,0.019,0.018,0,0,0,45.095
1272.736,0.015,1272.749,0.018,0.001,0.018,0.017,0,0,0,45.092
1272.736,0.015,1272.749,0.018,0.001,0.018,0.017,0,0,0,45.092
1272.816,0.017,1272.759,0.024,0.001,0.019,0.017,0,0,0,45.092
1272.816,0.017,1272.759,0.024,0.001,0.019,0.017,0,0,0,45.092
1272.802,0.018,1272.767,0.029,-0.007,0.019,0.018,0,0,0,45.095
1272.802,0.018,1272.767,0.029,-0.007,0.019,0.018,0,0,0,45.095
1272.788,0.019,1272.774,0.033,0.003,0.019,0.017,0,0,0,45.104
1272.788,0.019,1272.774,0.033,0.003,0.019,0.017,0,0,0,45.104
1272.788,0.02,1272.78,0.037,-0.003,0.018,0.017,0,0,0,45.098
1272.788,0.02,1272.78,0.037,-0.003,0.018,0.017,0,0,0,45.098
1272.791,0.02,1272.787,0.041,-0.005,0.02,0.018,0,0,0,45.095
1272.791,0.02,1272.787,0.041,-0.005,0.02,0.018,0,0,0,45.095
1272.749,0.021,1272.789,0.043,0.002,0.018,0.017,0,0,0,45.098
1272.749,0.021,1272.789,0.043,0.002,0.018,0.017,0,0,0,45.098
1272.749,0.021,1272.789,0.043,0.002,0.018,0.017,0,0,0,45.098
1272.736,0.021,1272.791,0.045,0.002,0.019,0.017,0,0,0,45.095
1272.736,0.021,1272.791,0.045,0.002,0.019,0.017,0,0,0,45.095
1272.736,0.021,1272.792,0.046,-0.007,0.019,0.018,0,0,0,45.098
1272.736,0.021,1272.792,0.046,-0.007,0.019,0.018,0,0,0,45.098
1272.806,0.021,1272.8,0.05,0.002,0.018,0.017,0,0,0,45.098
1272.806,0.021,1272.8,0.05,0.002,0.018,0.017,0,0,0,45.098
1272.808,0.022,1272.807,0.054,0.001,0.019,0.017,0,0,0,45.086
1272.808,0.022,1272.807,0.054,0.001,0.019,0.017,0,0,0,45.086
1272.794,0.023,1272.813,0.057,-0.007,0.019,0.018,0,0,0,45.106
1272.794,0.023,1272.813,0.057,-0.007,0.019,0.018,0,0,0,45.106
1272.794,0.023,1272.819,0.06,0.002,0.019,0.018,0,0,0,45.098
1272.794,0.023,1272.819,0.06,0.002,0.019,0.018,0,0,0,45.098
1272.796,0.023,1272.825,0.063,-0.001,0.019,0.017,0,0,0,45.104
1272.796,0.023,1272.825,0.063,-0.001,0.019,0.017,0,0,0,45.104
1272.782,0.024,1272.829,0.065,-0.004,0.019,0.017,0,0,0,45.095
1272.782,0.024,1272.829,0.065,-0.004,0.019,0.017,0,0,0,45.095
1272.774,0.024,1272.832,0.067,0,0.019,0.017,0,0,0,45.101
1272.774,0.024,1272.832,0.067,0,0.019,0.017,0,0,0,45.101
1272.774,0.024,1272.835,0.068,0,0.019,0.017,0,0,0,45.106
1272.774,0.024,1272.835,0.068,0,0.019,0.017,0,0,0,45.106
1272.806,0.024,1272.841,0.071,-0.002,0.019,0.017,0,0,0,45.104
1272.806,0.024,1272.841,0.071,-0.002,0.019,0.017,0,0,0,45.104
1272.799,0.024,1272.846,0.073,0,0.018,0.017,0,0,0,45.104
1272.799,0.024,1272.846,0.073,0,0.018,0.017,0,0,0,45.104
1272.878,0.025,1272.858,0.078,-0.001,0.019,0.018,0,0,0,45.106
1272.878,0.025,1272.858,0.078,-0.001,0.019,0.018,0,0,0,45.106
1272.88,0.026,1272.869,0.083,-0.006,0.019,0.018,0,0,0,45.109
1272.88,0.026,1272.869,0.083,-0.006,0.019,0.018,0,0,0,45.109
1272.88,0.027,1272.88,0.087,-0.001,0.019,0.017,0,0,0,45.115
1272.88,0.027,1272.88,0.087,-0.001,0.019,0.017,0,0,0,45.115
1272.88,0.027,1272.88,0.087,-0.001,0.019,0.017,0,0,0,45.115
1272.866,0.027,1272.889,0.091,0.001,0.019,0.017,0,0,0,45.121
1272.866,0.027,1272.889,0.091,0.001,0.019,0.017,0,0,0,45.121
1272.859,0.027,1272.896,0.094,-0.01,0.02,0.018,0,0,0,45.118
1272.859,0.027,1272.896,0.094,-0.01,0.02,0.018,0,0,0,45.118
1272.794,0.027,1272.898,0.094,-0.003,0.019,0.017,0,0,0,45.115
1272.794,0.027,1272.898,0.094,-0.003,0.019,0.017,0,0,0,45.115
1272.794,0.027,1272.9,0.093,0.005,0.018,0.017,0,0,0,45.13
1272.794,0.027,1272.9,0.093,0.005,0.018,0.017,0,0,0,45.13
1272.792,0.026,1272.901,0.093,-0.004,0.02,0.017,0,0,0,45.124
1272.792,0.026,1272.901,0.093,-0.004,0.02,0.017,0,0,0,45.124
1272.765,0.025,1272.9,0.092,-0.009,0.019,0.018,0,0,0,45.136
1272.765,0.025,1272.9,0.092,-0.009,0.019,0.018,0,0,0,45.136
1272.754,0.025,1272.898,0.09,0.003,0.019,0.017,0,0,0,45.127
1272.754,0.025,1272.898,0.09,0.003,0.019,0.017,0,0,0,45.127
1272.754,0.024,1272.896,0.088,-0.004,0.018,0.018,0,0,0,45.13
1272.754,0.024,1272.896,0.088,-0.004,0.018,0.018,0,0,0,45.13
1272.787,0.023,1272.896,0.087,-0.001,0.019,0.017,0,0,0,45.136
1272.787,0.023,1272.896,0.087,-0.001,0.019,0.017,0,0,0,45.136
1272.781,0.023,1272.896,0.086,-0.001,0.018,0.017,0,0,0,45.139
1272.781,0.023,1272.896,0.086,-0.001,0.018,0.017,0,0,0,45.139
1272.729,0.022,1272.892,0.083,-0.003,0.018,0.017,0,0,0,45.133
1272.729,0.022,1272.892,0.083,-0.003,0.018,0.017,0,0,0,45.133
1272.729,0.021,1272.887,0.08,-0.001,0.02,0.017,0,0,0,45.13
1272.729,0.021,1272.887,0.08,-0.001,0.02,0.017,0,0,0,45.13
1272.729,0.021,1272.887,0.08,-0.001,0.02,0.017,0,0,0,45.13
1272.719,0.02,1272.882,0.077,-0.001,0.019,0.017,0,0,0,45.142
1272.719,0.02,1272.882,0.077,-0.001,0.019,0.017,0,0,0,45.142
1272.733,0.019,1272.879,0.074,-0.002,0.02,0.018,0,0,0,45.142
1272.733,0.019,1272.879,0.074,-0.002,0.02,0.018,0,0,0,45.142
1272.732,0.018,1272.875,0.072,-0.003,0.019,0.018,0,0,0,45.139
1272.732,0.018,1272.875,0.072,-0.003,0.019,0.018,0,0,0,45.139
